dong_name,safety_cnt,leisure_cnt,food_cnt,health_cnt,conv_cnt,transp_cnt,cafe_cnt,pub_cnt,gu_id,dongx,dongy
안암동1가,24,1,31,0,2,4,8,0,17,37.588393,127.021456
안암동2가,22,0,20,3,2,6,5,0,17,37.586638,127.022973
안암동3가,25,0,11,0,1,0,2,0,17,37.583915,127.023280
안암동4가,20,1,7,1,1,1,1,0,17,37.580811,127.024633
안암동5가,65,8,315,20,15,21,48,10,17,37.586083,127.029493
보문동4가,11,1,28,4,2,1,6,0,17,37.582645,127.021437
보문동5가,6,0,24,8,2,1,3,0,17,37.582359,127.019936
보문동6가,44,1,13,0,2,0,5,0,17,37.580444,127.019694
보문동7가,24,1,40,2,4,2,4,2,17,37.580033,127.021820
보문동1가,9,3,15,3,2,5,3,0,17,37.586226,127.019779
보문동2가,13,0,20,5,2,1,3,0,17,37.585602,127.018306
보문동3가,13,0,0,0,0,1,1,0,17,37.584277,127.017551
정릉동,681,12,470,67,39,133,67,10,17,37.608442,127.008288
길음동,136,8,221,56,24,40,42,6,17,37.607316,127.024760
종암동,204,9,246,56,18,58,43,7,17,37.597405,127.035032
하월곡동,236,10,396,62,22,55,56,5,17,37.605662,127.035753
상월곡동,106,1,75,6,6,12,8,0,17,37.606723,127.048393
장위동,638,7,328,47,30,99,37,8,17,37.614232,127.050118
석관동,341,6,321,51,15,31,31,8,17,37.608823,127.060712
미아동,1002,34,1109,268,66,152,87,39,3,37.621298,127.024902
번동,400,16,331,88,26,98,27,8,3,37.635123,127.032072
수유동,915,30,1235,163,63,145,81,74,3,37.639388,127.017183
우이동,156,1,136,15,10,16,11,2,3,37.658785,127.011190
쌍문동,3,21,441,68,43,94,61,1,10,37.652731,127.028710
방학동,5,29,550,66,51,78,59,7,10,37.666224,127.036650
창동,5,35,736,111,58,116,101,26,10,37.643440,127.039413
도봉동,5,6,419,35,29,83,41,5,10,37.678103,127.043249
월계동,247,13,451,91,30,107,57,3,9,37.622192,127.058650
공릉동,345,23,822,139,52,111,125,7,9,37.623601,127.077388
하계동,69,6,183,38,12,56,40,2,9,37.636890,127.073145
상계동,622,79,1592,470,92,197,217,94,9,37.667100,127.072189
중계동,144,28,530,171,33,76,101,3,9,37.646989,127.082411
수색동,97,0,66,14,6,18,8,2,22,37.585121,126.894260
녹번동,264,8,250,33,17,25,31,6,22,37.605253,126.929107
불광동,476,14,438,95,25,64,37,13,22,37.620465,126.927435
갈현동,425,18,658,61,28,74,45,22,22,37.621223,126.914993
구산동,205,4,121,31,12,35,21,0,22,37.611390,126.910297
대조동,197,20,397,111,18,28,31,21,22,37.612276,126.922850
응암동,553,28,700,125,25,82,65,31,22,37.592677,126.920257
역촌동,292,19,387,54,13,51,36,6,22,37.604770,126.915663
신사동,803,89,2202,805,79,78,265,63,22,37.595711,126.909195
신사동,803,89,2202,805,79,78,265,63,1,37.522893,127.028589
증산동,169,2,123,28,5,14,10,3,22,37.584724,126.907223
진관동,305,16,302,76,14,62,53,0,22,37.644355,126.936524
충정로2가,11,1,88,11,2,11,9,3,14,37.565192,126.964529
충정로3가,71,1,125,6,4,20,15,2,14,37.562611,126.961351
합동,0,0,16,0,1,0,2,0,14,37.561567,126.966566
미근동,2,1,63,6,3,3,8,2,14,37.563162,126.967026
냉천동,8,0,75,7,1,6,6,2,14,37.567257,126.963890
천연동,42,0,20,1,1,8,4,1,14,37.568285,126.960571
옥천동,9,2,17,6,0,0,0,0,14,37.569686,126.960890
영천동,4,3,23,14,1,8,0,3,14,37.570759,126.960460
현저동,54,1,3,1,1,16,1,0,14,37.576486,126.954220
북아현동,251,3,116,26,13,26,21,5,14,37.561666,126.956170
홍제동,460,15,394,84,33,77,37,20,14,37.588734,126.946107
대현동,63,9,222,16,27,12,54,3,14,37.558086,126.944504
대신동,33,4,21,6,5,11,5,1,14,37.566438,126.945199
신촌동,13,8,21,3,6,4,17,0,14,37.568134,126.946792
봉원동,13,0,1,0,0,2,0,0,14,37.569952,126.947063
창천동,179,19,656,55,23,21,57,53,14,37.558584,126.934113
연희동,502,15,354,44,30,56,89,2,14,37.570389,126.929628
홍은동,576,7,286,38,29,97,37,13,14,37.591560,126.938775
북가좌동,413,13,252,49,24,44,38,8,14,37.580344,126.912261
남가좌동,285,11,353,68,30,42,54,19,14,37.577538,126.922311
아현동,6,10,170,60,6,24,23,0,13,37.555483,126.955998
공덕동,2,10,414,59,11,23,41,6,13,37.548828,126.959006
신공덕동,0,3,69,18,5,9,12,0,13,37.544374,126.956854
도화동,1,12,478,88,11,39,51,20,13,37.539966,126.950000
용강동,1,4,176,7,8,8,7,1,13,37.541967,126.940414
토정동,0,0,3,1,0,2,0,1,13,37.540350,126.940474
