법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설,유흥주점,헬스시설,다방,커피숍,패스트푸드,편의점,마트,음식점
대방동,2,50,3,5,3,1,13,0,9,13,1,17,58,1,2,0,0,9,6,219,1.0,2.0,1.0,16.0,0.0,28.0,5.0,19.0,2.0,135.0
신대방동,1,41,0,10,4,2,22,6,13,13,3,23,48,0,1,1,1,20,7,345,0.0,1.0,2.0,15.0,1.0,67.0,3.0,25.0,1.0,256.0
봉천동,2,210,16,26,10,6,91,5,66,71,6,95,269,5,3,2,5,101,33,2183,4.0,7.0,26.0,84.0,2.0,248.0,23.0,131.0,12.0,1715.0
신림동,1,273,19,14,15,8,123,8,68,66,8,103,257,4,5,2,5,163,48,2419,3.0,2.0,149.0,76.0,3.0,304.0,34.0,162.0,7.0,1836.0
남현동,0,6,0,2,1,1,4,0,9,4,1,9,27,0,1,0,1,12,2,197,1.0,0.0,16.0,5.0,1.0,25.0,3.0,13.0,1.0,147.0
방배동,3,159,7,34,9,7,47,0,44,56,7,37,200,3,3,1,0,57,40,1160,1.0,2.0,4.0,58.0,4.0,205.0,22.0,68.0,2.0,827.0
양재동,0,70,3,19,5,8,21,0,36,20,1,22,74,0,1,1,0,71,52,980,2.0,1.0,0.0,18.0,5.0,129.0,21.0,52.0,3.0,678.0
우면동,0,38,1,1,1,2,6,0,7,7,0,6,25,1,1,0,0,1,5,85,0.0,0.0,0.0,10.0,0.0,41.0,1.0,9.0,0.0,59.0
원지동,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,21.0
잠원동,2,38,1,13,7,1,13,0,19,16,1,23,157,1,0,0,0,41,11,490,1.0,3.0,4.0,19.0,1.0,61.0,8.0,24.0,4.0,335.0
반포동,2,81,2,25,5,7,25,5,53,40,2,36,149,2,2,2,0,25,12,801,0.0,7.0,2.0,46.0,4.0,133.0,17.0,45.0,7.0,541.0
