,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설
266,보문동1가,1,4,0,0,0,1,1,0,1,3,0,0,3,0,0,0,0,0,0,19,0.0,0.0
267,보문동2가,0,1,0,0,0,0,3,0,2,0,0,1,4,0,0,0,0,1,0,18,0.0,0.0
268,보문동3가,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
269,정릉동,0,133,6,10,5,6,27,0,19,10,2,27,38,3,2,0,3,19,22,522,2.0,0.0
270,길음동,1,39,3,2,1,2,13,0,24,9,0,21,35,2,1,1,2,6,5,241,9.0,6.0
271,종암동,1,57,2,6,2,4,17,0,9,7,2,19,35,1,1,1,0,12,10,285,0.0,1.0
272,하월곡동,1,54,1,6,2,3,20,0,16,10,1,25,36,0,1,0,4,23,13,418,2.0,1.0
273,상월곡동,1,11,0,3,0,2,3,0,2,1,0,1,5,0,1,0,0,0,2,70,0.0,0.0
274,장위동,0,99,1,1,2,6,24,0,10,5,0,23,24,2,0,1,1,11,14,341,3.0,2.0
275,석관동,1,30,2,2,2,4,15,0,6,6,0,17,34,1,1,0,3,16,13,352,2.0,2.0
276,미아동,2,150,6,3,13,5,67,6,41,22,8,58,202,3,3,2,4,94,33,1456,4.0,6.0
277,번동,0,98,3,7,5,4,25,6,10,7,4,18,66,0,2,1,2,36,14,435,2.0,0.0
278,수유동,1,144,1,4,8,6,50,9,34,16,3,34,126,1,4,1,0,161,40,1467,2.0,6.0
279,우이동,0,16,0,0,1,0,6,0,3,0,0,8,7,1,0,0,2,9,4,175,0.0,0.0
280,쌍문동,0,94,7,6,4,3,33,0,12,20,6,18,44,0,2,1,6,31,20,473,1.0,1.0
281,방학동,0,78,2,10,5,6,28,7,26,19,5,16,45,1,2,2,4,76,42,634,3.0,1.0
282,창동,2,114,6,12,6,5,34,5,32,31,3,33,75,0,2,1,5,80,48,784,5.0,2.0
283,도봉동,1,82,2,7,4,5,21,0,11,7,2,10,23,0,2,0,7,44,17,452,0.0,2.0
284,월계동,1,106,3,7,3,4,17,0,23,11,1,25,65,3,1,1,0,35,16,449,1.0,1.0
285,공릉동,4,107,5,11,3,7,24,0,34,20,2,40,97,1,1,1,0,45,26,775,3.0,1.0
286,하계동,1,55,0,6,1,5,12,0,7,3,0,15,23,1,0,1,0,2,2,181,0.0,1.0
287,상계동,6,191,12,21,8,7,60,17,70,49,10,99,361,2,4,2,0,145,50,1695,1.0,5.0
288,중계동,1,75,5,17,7,1,28,11,30,18,1,40,130,1,2,0,0,34,14,561,3.0,4.0
289,수색동,0,18,1,0,0,2,5,0,2,0,0,5,9,1,0,1,0,3,3,89,1.0,1.0
290,녹번동,2,23,2,5,1,3,14,1,12,4,2,8,23,0,0,1,6,15,7,266,0.0,0.0
291,불광동,1,63,0,7,6,3,24,0,16,13,2,17,76,2,1,0,5,12,14,449,0.0,7.0
292,갈현동,2,72,3,8,5,1,20,0,14,15,2,15,44,1,1,0,1,57,30,695,0.0,1.0
293,구산동,1,34,1,3,0,0,14,0,12,3,2,7,22,1,0,0,7,1,1,117,1.0,1.0
294,대조동,2,26,2,2,1,0,12,9,16,12,2,20,89,0,1,0,1,16,13,416,0.0,4.0
295,응암동,0,82,4,6,6,4,30,0,28,28,2,30,93,1,2,0,3,46,32,720,3.0,3.0
296,역촌동,0,51,3,4,3,1,17,0,17,14,1,16,37,1,1,1,0,25,20,401,1.0,2.0
297,신사동,4,74,6,27,10,7,39,17,89,63,12,94,699,1,2,0,2,39,20,2269,4.0,2.0
298,증산동,2,12,0,5,1,1,7,0,8,3,0,9,19,1,0,0,0,8,11,143,0.0,0.0
299,진관동,1,61,1,4,1,2,16,8,30,7,1,22,53,2,1,1,9,3,3,311,0.0,1.0
300,충정로2가,0,11,1,1,1,0,0,0,1,1,0,2,9,0,0,0,0,4,1,103,0.0,0.0
301,충정로3가,2,18,0,1,0,1,2,0,2,1,0,1,5,0,0,0,0,1,2,145,0.0,0.0
302,합동,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,22,0.0,0.0
303,미근동,0,3,0,1,0,0,1,0,0,1,0,2,4,0,0,0,0,3,2,73,0.0,0.0
304,냉천동,0,6,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,2,85,0.0,0.0
305,천연동,0,8,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,25,0.0,0.0
306,옥천동,0,0,1,0,0,0,1,0,0,0,0,1,5,0,1,0,0,0,0,19,0.0,0.0
307,영천동,0,8,0,1,0,0,1,0,3,2,0,3,11,0,0,0,0,5,0,27,0.0,0.0
308,현저동,1,15,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,5,0.0,0.0
309,북아현동,0,26,0,0,2,0,11,0,7,1,1,9,16,1,0,1,0,3,4,151,0.0,0.0
310,홍제동,2,75,2,4,6,4,18,0,17,10,1,30,53,0,1,0,4,22,10,481,5.0,0.0
311,대현동,0,12,1,0,2,0,2,2,6,3,0,6,10,0,1,0,1,4,0,268,0.0,1.0
312,대신동,0,11,1,0,0,1,1,2,3,1,0,5,1,0,0,0,0,0,0,45,0.0,0.0
313,신촌동,0,4,0,0,0,0,0,8,7,0,1,1,1,1,0,0,0,0,0,20,0.0,1.0
314,봉원동,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
315,창천동,0,21,5,0,1,1,6,10,14,7,1,18,36,1,0,0,2,28,4,822,1.0,1.0
316,연희동,0,56,8,1,2,7,14,1,21,11,1,14,29,0,1,1,1,3,6,380,1.0,0.0
317,홍은동,0,97,2,6,3,2,18,0,12,6,1,15,22,0,2,1,3,9,8,366,2.0,0.0
318,북가좌동,0,44,3,0,1,2,19,0,11,10,0,13,36,0,1,1,1,13,6,295,2.0,0.0
319,남가좌동,0,42,1,1,2,2,11,0,15,8,1,23,44,0,1,0,2,18,8,426,6.0,0.0
320,아현동,2,22,2,2,1,0,10,0,3,6,1,10,49,1,0,0,3,1,4,163,0.0,0.0
321,공덕동,2,21,1,5,1,2,9,0,9,9,0,15,44,0,1,1,2,5,7,397,4.0,0.0
322,신공덕동,0,9,0,1,0,0,4,0,7,2,0,4,14,0,0,0,1,4,0,65,1.0,0.0
323,도화동,1,38,3,6,3,1,12,0,9,11,1,12,75,1,0,0,0,23,6,490,0.0,1.0
324,용강동,0,8,1,4,1,1,3,0,4,4,0,2,5,0,1,0,2,15,4,172,1.0,0.0
325,토정동,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0
326,마포동,0,2,1,2,0,0,5,0,1,0,1,0,1,0,0,0,0,0,1,45,0.0,0.0
327,대흥동,1,24,1,2,0,1,7,0,10,4,0,7,34,1,0,0,3,4,4,200,1.0,0.0
328,염리동,1,12,1,1,2,2,9,0,4,4,0,1,15,0,0,1,0,6,2,150,1.0,0.0
329,노고산동,1,14,0,0,0,0,3,0,4,7,1,7,51,1,0,0,2,8,2,173,0.0,1.0
330,신수동,0,25,1,2,0,0,8,0,6,3,2,5,6,0,0,1,1,4,2,172,2.0,0.0
